subscriber_id,amount,timestamp
2962629,96,2020-01-01 00:02:47
8450707,73,2020-01-01 00:04:33
7797892,98,2020-01-01 00:08:36
2474502,7,2020-01-01 00:14:37
1215791,76,2020-01-01 00:24:36
8786349,98,2020-01-01 00:38:06
2991626,68,2020-01-01 00:44:38
6151493,37,2020-01-01 00:53:33
1181229,66,2020-01-01 00:56:18
4490184,46,2020-01-01 00:59:47
7867579,97,2020-01-01 01:07:26
3804302,73,2020-01-01 01:13:26
2542568,35,2020-01-01 01:17:51
3804302,92,2020-01-01 01:18:34
9482340,34,2020-01-01 01:25:00
4341220,66,2020-01-01 01:27:16
5535478,16,2020-01-01 01:41:38
2083226,9,2020-01-01 01:51:40
8234710,66,2020-01-01 01:56:33
8156180,71,2020-01-01 02:11:22
7867579,88,2020-01-01 02:11:32
2269161,32,2020-01-01 02:15:15
5159583,72,2020-01-01 02:15:42
5057529,6,2020-01-01 02:27:45
7850169,69,2020-01-01 02:28:04
9625334,89,2020-01-01 02:47:49
3359428,12,2020-01-01 02:49:46
5753817,40,2020-01-01 03:01:10
2542568,27,2020-01-01 03:06:55
3494518,77,2020-01-01 03:37:45
4647212,5,2020-01-01 03:42:11
4646109,8,2020-01-01 03:49:42
3999686,49,2020-01-01 03:51:29
4054022,38,2020-01-01 03:52:17
3713073,15,2020-01-01 03:56:28
6369056,46,2020-01-01 04:03:09
2737361,42,2020-01-01 04:41:29
3883377,98,2020-01-01 05:16:03
5159583,70,2020-01-01 05:18:13
7971181,2,2020-01-01 05:21:53
9251012,97,2020-01-01 05:37:41
4348362,64,2020-01-01 05:39:18
7850169,53,2020-01-01 05:42:11
2623076,89,2020-01-01 05:49:23
7447288,18,2020-01-01 05:50:33
6151493,46,2020-01-01 05:59:11
5041958,68,2020-01-01 06:09:53
7940120,43,2020-01-01 06:15:13
2693600,22,2020-01-01 06:17:47
3835643,29,2020-01-01 06:27:51
7448695,35,2020-01-01 06:28:38
1279864,26,2020-01-01 06:42:21
1629227,84,2020-01-01 06:44:35
7891763,27,2020-01-01 06:45:54
4043022,53,2020-01-01 06:49:41
8366896,4,2020-01-01 06:55:06
7557144,10,2020-01-01 07:07:22
1758917,89,2020-01-01 07:21:37
9613537,57,2020-01-01 07:42:36
7860952,54,2020-01-01 07:53:34
1275856,34,2020-01-01 08:14:29
2128941,75,2020-01-01 08:16:26
2581959,31,2020-01-01 08:17:03
8314503,30,2020-01-01 08:24:35
2581959,0,2020-01-01 08:30:08
7879451,73,2020-01-01 08:45:04
2511573,92,2020-01-01 08:52:35
4160598,84,2020-01-01 08:53:17
3431203,5,2020-01-01 08:56:45
7398834,66,2020-01-01 09:01:59
6897481,59,2020-01-01 09:02:47
3972864,94,2020-01-01 09:07:51
4946546,77,2020-01-01 09:12:21
3324652,31,2020-01-01 09:18:47
9875304,60,2020-01-01 09:25:09
6430002,40,2020-01-01 09:33:43
5882194,21,2020-01-01 09:37:03
1373630,4,2020-01-01 09:43:46
8388694,68,2020-01-01 09:44:45
7879451,3,2020-01-01 09:50:03
4381693,19,2020-01-01 09:52:30
5692432,34,2020-01-01 10:07:25
5606493,14,2020-01-01 10:41:00
1956104,99,2020-01-01 10:47:22
4160598,7,2020-01-01 10:57:18
9400723,57,2020-01-01 10:59:10
4502101,90,2020-01-01 11:04:17
9098735,58,2020-01-01 11:06:46
5043061,28,2020-01-01 11:55:40
9482340,1,2020-01-01 12:04:26
1712898,66,2020-01-01 12:15:25
4193858,69,2020-01-01 12:24:29
6096552,69,2020-01-01 12:47:52
4747193,90,2020-01-01 12:48:49
3445783,51,2020-01-01 12:49:40
8765394,93,2020-01-01 12:50:23
9047657,74,2020-01-01 12:52:03
6275868,32,2020-01-01 12:53:47
9279284,98,2020-01-01 12:56:04
1105391,60,2020-01-01 13:27:29
1526754,49,2020-01-01 13:28:18
3892272,81,2020-01-01 13:29:09
3432855,14,2020-01-01 13:32:06
7080937,39,2020-01-01 13:38:11
1179110,21,2020-01-01 13:38:45
1672473,32,2020-01-01 13:42:23
3352442,11,2020-01-01 13:46:50
9378990,91,2020-01-01 13:56:29
9856534,51,2020-01-01 14:05:31
3049609,9,2020-01-01 14:10:21
6577749,28,2020-01-01 14:22:41
7557144,45,2020-01-01 14:24:38
6562043,68,2020-01-01 14:24:39
4405184,60,2020-01-01 14:27:17
4767027,25,2020-01-01 14:33:43
