name,label,weight
5853351,21336,41.7022004702574
6151493,18720,72.0324493442158
5041958,17028,0.011437481734488664
7902441,19973,30.233257263183976
6298593,20367,14.675589081711305
9486535,16228,9.233859476879779
4295331,14705,18.62602113776709
3255479,22073,34.556072704304775
1897282,18895,39.67674742306699
8369244,20367,53.88167340033569
1474788,23064,41.91945144032948
3703048,19382,68.52195003967594
8437868,17612,20.445224973151742
7943395,17073,87.81174363909454
2791634,19705,2.7387593197926163
2403307,22969,67.04675101784022
5760850,19169,41.730480236712694
9091905,18254,55.868982844575164
2867768,17081,14.038693859523377
2878116,18340,19.81014890848788
4795202,19987,80.07445686755366
9089982,17717,96.82615757193975
5241434,15588,31.342417815924286
1540902,17916,69.23226156693141
6454205,21967,87.63891522960382
4208988,17057,89.46066635038473
3902976,17717,8.504421136977792
8838373,20124,3.905478323288236
6915000,17785,16.98304195645689
2477617,16057,87.8142503429413
1879261,21151,9.83468338330501
6744127,17571,42.11076250050522
6661375,17409,95.7889530150502
7318677,20789,53.316528497301704
7565322,14291,69.18771139504733
8164544,16862,31.551563100606295
9965336,17943,68.65009276815837
1041783,16862,83.46256718973729
3761704,16851,1.8288277344191806
2399393,19432,75.01443149449675
9529190,17745,98.88610889064947
4077091,20174,74.81656543798394
1758469,16163,28.044399206440517
6897481,20755,78.92793284514885
4747193,19305,10.322600657764202
1918063,16851,44.78935261759052
4023193,20582,90.85955030930955
7999495,22600,29.36141483736795
7150693,18809,28.777533858634875
7699948,18073,13.002857211827767
